cc_number|cc_expiry|cc_provider|cc_ccv|cc_card_type|client_id|token
213167328023668|05/29|Mastercard|657|Platinum|6142799a-f048-4d78-b428-16a6c74e1b1f|880d938225f6266b738a6da856d22402f5aefb81b9b5acdef2e85e583ea8c9cf
4480180660001158|11/25|JCB 16 digit|355|Gold|02946815-cc82-4830-afb1-a4bff101e12c|2aafd46cdcfc0884b28f1c95180f8b3f56ffd98b348921339a94b0491ea517db
342049037554619|06/19|Diners Club / Carte Blanche|227|Classic|33ec7a7d-7be0-453a-bb96-84ef9e8272ee|cc00368f9e6d9b401811e00c4862748bf460ede067f3bfa7c6bab83421cc3fbd
676395245019|06/24|Discover|039|Gold|f0692e69-c1fe-4a10-974b-51570f9f0c74|884056cb663f76d1b5861c83ba3b82e536438c4a70e8b270a34efbe628c9c9b8
4680130227811947727|06/20|Diners Club / Carte Blanche|787|Gold|c8d15e80-b20e-42e3-8c68-e8a1dd90b8b2|1e45fd375af196efa8d8cdb8f4dded2993a0866fe32f4d2820cbf432441a375e
4173284128499582|04/27|JCB 15 digit|153|Platinum|e0f859e7-75e8-4996-8f4e-2c83824b221d|aa7e34b18827b98b8415b15dba08ad8295f1c09e9b6e7750bbf7c933fbf51f90
676104959710|06/26|VISA 16 digit|986|Classic|a65ccef9-8ec5-4bb5-b6c0-5515bdfa9a36|42f8f908ae10fe57f5a782e511bcaecf3e91d3b6bb6236fe12d1890a7c61f445
3572554229759913|01/24|VISA 16 digit|833|Classic|0c807033-f3b1-44d0-be2f-b00de8a53eb6|91a93e51341c1524f5d99c08b6480eabae7febc450d3de512babe7ed7a5da43b
501820650585|11/28|American Express|076|Platinum|31d2eab5-a01c-4130-b0d8-f9c2faf07dd1|20041e4ae8fb24f8f3ab687cb0c1c9eac8c5af30bd003d79b3bd64e50d848cf6
573036890818|04/20|Maestro|017|Gold|87b5fa90-ef8b-43fe-a5db-15572ad5e98f|19872050214ffd754ad58460d15f8fe0de20e7260fbce1cd545f51e7e579c26e
4390343711868|12/32|Diners Club / Carte Blanche|470|Classic|d6c4d3af-6be1-40ca-ad5d-6de152efbed3|3b36371cd643c7e93fa37417915e40d5a8c8b4df2e8ca58c46bb3fb4c6776e8e
4225528904772689|04/23|Diners Club / Carte Blanche|836|Platinum|d9dadbca-47e0-4ee5-b0d8-522e4c432605|7f927ca79ebdee4c8b751ddf5dc088e41fc48850db00396a4742737df9b6baa8
36099816265052|02/18|VISA 13 digit|636|Gold|41fd1812-3e32-4d8f-9935-4146ab0800bb|14c0056832871dd022efb3b5e71e147eb675983b142fec68aff763c936599871
6569485660476311|04/32|Mastercard|6283|Classic|518175bb-d257-4690-b75d-91a821900add|4a46928a12b616fa0ebda8e58ab59a42b221af76165323099b3b4fbd291398ce
3536296541787280|12/22|VISA 19 digit|070|Gold|4dd600e8-210b-4b6d-84dc-ae6de2bd6fbf|25b544140563e0426f731467b4786bbe029dbc201e91f2c984bd2db46ce6ae0f
4651646409449844|05/25|JCB 15 digit|899|Gold|33270b71-0ea7-4fe2-9ce1-bbfb06a5f11b|4b9e325912d2aece779a8a66b4411803e8374f313ee9c51d6973755b8b95ee58
3566144096399734|07/31|American Express|679|Gold|c39a3841-b64c-4e46-b1ec-b6fc31f66641|7b8d7d79f70559d482d6577a0fac0ca997ed9d47b6d7f9e414d987a1563817d0
30055832868317|03/14|Maestro|037|Classic|5e69dc94-eac1-4120-a63f-c61f69b1e03f|e124d99e414fdaa9027ff967590ff1a155c93a959d378c3a9cc99f395ac08b83
36554392957274|07/28|Mastercard|241|Classic|83922abc-909a-451a-b83f-ffaddb9ab1cc|ec1cdff83587936499361e93351d265e73e8b62e55e9ac43da7b67963792b643
6011523159919542|07/15|American Express|156|Classic|6a0cd090-30d5-47fb-b14e-8f0c976219ab|f1a0d94babdac8ec582f64017a2cc967d2ac2810267bb6857064bbbb5dda69bf
4499487998417942|03/31|Discover|833|Platinum|718fc188-e389-4347-87dd-16555a83af45|dbfdf849e2ce55c6410d3df8c957daa8ad1a5a5f0e11aa27578d77124362a192
349750306662925|10/19|Maestro|169|Gold|a9227f8b-6a56-49e3-a5d1-1d36ffa5422a|9416e3f046506c3bb52527ffab8ec9dc0fc7005fda217652bec335d92930b8ee
4442721617272|09/13|Maestro|4016|Classic|86f1b63e-1b34-4308-b6a3-e5802d69131e|7fdd7f554bd3a00789f4e1e5befbb6e0b9aa6374d9dd48dde50249c90ee4f309
30564165177238|04/28|VISA 19 digit|467|Classic|fc25eb66-8517-4fb4-9249-bd3e510c448e|f725877466e3665b7bdc0dfa58f9e31ab956e5c29dd069afae6a949d4e5762d6
6596455534885549|12/24|VISA 16 digit|857|Platinum|935c75ee-8302-4d1e-affa-f2938f1caabe|134f44431528f4fa13f3618b5af341a196edb047d436fde78cc24d73c867eac0
6529603361994205|10/24|VISA 19 digit|174|Platinum|1b21d26c-c34f-4c87-9c40-1b7636e8dc08|6e86471917961122239f29684b2bc1d8493bfaf6988e73e66617190b7cf02e3c
4649812922318|09/30|VISA 19 digit|049|Gold|85900753-4181-43a1-b7e0-a483ddd01e1d|c5f0ed94bc4161369a43c186c4f4385ab37a4dd0694e627dbed7e2dd267916ae
4768863631074102522|09/25|VISA 16 digit|489|Classic|26e758b3-e2da-424b-ad2a-5fc3c90f468d|a4190d1392ad7ceaa4ccc71bde4128dca5c45f823bb4fbb61ea83f75a8b5d1be
4921604048848789|02/30|American Express|775|Platinum|aa38990a-920f-424b-83ec-5525283f5089|8779a67292c747ff040d19edaa1727770c409e8d4c039858bfd4abb5b4762f13
501877794617|12/14|JCB 16 digit|539|Classic|47c8b336-83c8-4801-9459-1dd479639118|8cb80012ad6c1d00c239597fd04cb75ef8618ae5361092d9d17eefc31698fe21
4481481942594880|10/19|VISA 16 digit|263|Classic|ab8b9f5d-cdd1-425b-84f0-9e505f490e05|5e91fec504d9dab3132708d8f8a1d855ed713f8abdd0f4707cf3fd9bd4523069
30337474991270|01/27|VISA 13 digit|725|Classic|3812090b-8934-478d-a74d-76ea8ab89cb0|ab30832d07e3dd68a0ddfab8b8743c2811bdb9c20c09534a46ec55283d6e16d2
6599045877800887|09/25|JCB 16 digit|203|Platinum|d41a58a8-1f3b-47f4-92f1-ec9c10951496|79f071be7e88cbcc5c5760978820769c0d2ae9068c8da14c0621e9b4478068d6
3561941157473018|11/22|Diners Club / Carte Blanche|037|Classic|3843e98d-d524-4072-a0a7-6b98ef31014d|028609df04b5ed4653860299e1b30d1c94a500eba77b65018c43ba0bfcda9655
3584567746588751|07/24|VISA 13 digit|1301|Classic|bfbe39be-3f0f-4329-9670-616d2622f0f8|1526782893b20ba534d412987940547ac78dce38a11868bcdea097ea5d3ae5ad
4865887582330847|01/24|VISA 16 digit|832|Classic|f6c6e899-ef93-40c6-acec-9efb936a2191|4fde2b537fb359863d2ae45eaa97d8952605dfb8e6dc1aa11977e69573f9cfd9
4598307569511628|11/21|Maestro|839|Platinum|c1d7ad66-5c3b-41b8-b248-056bb2b48149|1309605b1d0ac46709a2991af8d5e5f020bd7f5b5bcda02291527e85740aa272
2221450864020025|12/27|VISA 16 digit|419|Classic|3d290c14-7365-4b5f-a4e3-5285fd63ab0a|161d8286b9f1f3d7ef38f0d89a54304e3d2ebd9d0040f8dac8d561bc5c6fb0e0
639024319811|03/16|Diners Club / Carte Blanche|081|Classic|d721f3d0-6b92-4af5-8c7c-228fbf61116f|0cedcf6b05c4b76adf1c3d04c5ddaf51734600cb8a55dbbed2939dd61280fbea
6539628238711209|07/14|American Express|643|Classic|47f49efe-4a64-4ce4-999b-407a8a168c48|34a08afedac4a06d3eeab5e57f0d652262777eb798a4efa2e96547d415d37aa4
3514765097804307|12/24|VISA 16 digit|213|Platinum|8aee94a1-2381-477e-9c74-c6df502e4585|95eca50dda423e6adc01a5ff6e3c3937527f597b39f00aeca397b24520b6243e
4143287509412|10/32|JCB 16 digit|1094|Gold|4f47ca2d-4f4b-4ab9-a7bf-227de77c7a26|51abfe53c9fcc70b82a9b70addf9c6a931b89e02137b0a5fa36f966a519b0267
6572515234296129|09/17|Discover|220|Classic|d1ea1e9b-6416-437d-b80d-4ad67fe08a8b|85f44d17a31d2b9a2f3f71b72779609100c85019af9066c608926dc5bf147eff
5553714431622832|07/32|VISA 13 digit|698|Classic|522d2966-2caf-49d6-a5f3-c9068196e8ef|95feee97f325b44640e1de7a702f87d0e916fb2181b1dd304f2775a2918b9b7c
213195312558647|11/22|VISA 16 digit|439|Platinum|145c5b3b-9353-44e8-82b7-a2e387ecdd40|369fe9f928fcd82d6a6f133e8d38e72c4bf3b98a0547672c591ade5ffadc7971
180015099760662|10/30|Discover|600|Classic|97ff6ec3-6cf8-477d-bf33-8b2c09e63d34|53fbcbcc7442c99d2ff39a40994739f7968f01a64d6399c0e98432f54aabb537
4483113867889643|02/23|VISA 16 digit|622|Gold|6ad14d34-eb50-43dd-8198-d76e669a31bf|80ee3efafdf002a5a0a0a36cb799e8b69370e61f6f0369f6ba523e8171a1467e
3589222495004452|06/24|Discover|830|Gold|c01c95f7-65c3-4aad-b6fb-7c491c200a5b|b629a543d98aba248971ed9302c25363dc88d6ce5ba75f0fe9604f29d944e25f
4302482732948259|01/21|Diners Club / Carte Blanche|034|Gold|68e81648-3cc2-4855-9b49-fed61d459cf5|ecd3e78608e099c2d5b02fc3f317a2ee748201e107336f9912b14952d8a3a0f0
6011041376385728|04/30|VISA 19 digit|655|Platinum|3ac394b0-0baf-4154-8a4e-e66aeec0ffd5|ab4d7e4b2d13dd8be374004956238ba3b52503bf0b04558b57f3921671eab022
4290896843104508|05/25|Discover|993|Classic|63083dc4-58d7-4610-99df-ba32b1185beb|ff5fa40c1847e8eca0f1433f29347a9d6a8e90e1035de6fb40b07011710025c0
348480152265307|07/14|Maestro|014|Gold|74c1c8fe-200e-4eba-be32-ca135473a839|e07176fbf4356e5fcb16a0393fb3fd73358657ca8011dd27a76218502cc8c1ae
3525016664165871|05/22|JCB 16 digit|898|Gold|fee8f831-634c-413f-b0f7-7832b01c4ef2|ffe4846a0a38c8324d1592f6a17a870d75de2798c08ae4fc1a3b4c61fc006f54
346711329080142|10/31|JCB 16 digit|358|Gold|36a63637-ada7-4dc0-93b1-6f171f06fc43|3f47a080f0a284c83f4e00fef47fab7d00ded22028a9a48904e82c367564c2b9
213154720524303|02/32|Maestro|173|Gold|c4ee4caf-93db-48b1-ab23-028ab3202001|9d892d08b4ddfab57389d8d6a2d693e156e098b931a33488cc5ee3e14ac374b6
2720583106559255|08/32|JCB 16 digit|595|Platinum|afb2c80b-4736-4dc2-9d4c-e768961ef4d3|f342a04a48f4b4f215c377ff374ec68e99b9a5df67de8f9d6b1bfd0c25f140e2
6011278878874649|12/14|VISA 16 digit|714|Platinum|8dda4ab0-1ffc-49b7-b55d-5d991a338f0b|a7b4393140ad1da21856043db9b3c418486c683958c1e565c6dc636759276203
6011067034552904|02/32|VISA 16 digit|111|Classic|b75322a6-d2ee-474e-ad97-44fc0ea55779|f6f7c054637184fda646ad0d37fe60114f13449134722175939fa152534e5b11
3500848813661536|03/19|JCB 15 digit|569|Classic|a969fb98-1a9d-4b5a-9254-24e4ebdeb28f|76225134a41085c981acef645c4553de0c3cf5a83b9e2334172dd85a06ec3f25
30519830010347|07/15|VISA 13 digit|575|Platinum|b38d77be-1f91-46d2-827e-1fac10365dbf|d54bdbf354841fc30ab5b957b00fb93551f2e32cb782fbf5f90ccdf9bb96533f
36300894589078|07/17|Maestro|290|Classic|50743061-5d7a-44ab-80c8-1bd172744cc2|d63269da34394040d6bc87860158c828ad2ab6be3764c9b11048102ec859c5a7
4590256234031207|07/32|American Express|096|Classic|fa0f8acc-c572-4ea4-9adf-4eac07a432ab|dca088f97f22f2febc41145789f245cb849cba848b761e3eb7836a9d859fb3f6
348326420495962|09/27|Diners Club / Carte Blanche|247|Platinum|56e17d9d-d67f-4c51-9ccd-160793790a48|95ff26dbce9e6bb21fa18448f134d68cab305057c4ee8168cc1c53699bb4b9dd
30192942235606|06/24|JCB 15 digit|087|Platinum|85ae2436-bd0f-4eb9-924e-d5d31044b1e6|0062cf9d56c1df363c6404c97b7556f700565972bc40e08cbda650d51ce029de
4252261947985318|07/19|VISA 16 digit|2353|Gold|ebbf057a-1fdf-47e8-a30e-e6cc8d834e0a|b9a7c1299b48dba160887368f4044e8172ac4c0412908c9c45240cdd9561ca04
30567877882912|05/14|VISA 19 digit|045|Gold|83befd4f-de9d-47fa-b963-d2adce5aca21|b59e6eb9cf6d937c734015675ab14d81c9d17d5b9d0d993646932b50b9776cf7
348674399582934|09/18|Mastercard|741|Platinum|302a2cbc-296a-4ee6-ac64-92f5e2401a25|6963f2ca7d1733731ff1967d691d5694d9d5765772fae361446a2da70afb2c4d
4619741707673137|01/27|VISA 16 digit|516|Gold|d51d61b6-cbb7-40d0-af15-d7d40f3b38d2|276c8d6efeac8b278f19b49faf4e5cdc99199961c6d5e43aa0f8cbeaafe4b0d7
213188279309609|05/20|Mastercard|828|Classic|28f708a8-456f-4ab1-9739-67c9183404d5|48cf3f51276870c9bf02b791512a59c4ed43e964da22d1564863d6ed1c049164
4487207962561143|06/13|Mastercard|8385|Platinum|73bc32a4-0bb9-4946-8727-cad3adad24fd|6c278c8a023e20e416d3240aee67d53f8d752a8794f6570c6e66286264610755
213183088659831|04/16|Discover|523|Gold|928c7d33-27fe-46b2-89b5-dbd9b461fc43|57233284ba003035bb07f1348e41a50212c07240f210d67b6a3f530dddb93b40
3572492469554407|07/17|VISA 19 digit|144|Platinum|c4f11892-8f88-4701-8390-06a6f6028ed0|3612b7b1594821f4f799f238717f0884c8a6e3e0e9a874bdb8974b1662c839bc
3589091595371123|08/31|Discover|123|Classic|cec4bcb6-8679-4f0c-bd48-80f913b2e303|c7d7c5b70ad57f4b0d87ff4c5e9dc412d84a7227d2b00d76e4f3c5a029b284ea
4201204808845897636|03/26|Diners Club / Carte Blanche|109|Classic|edfc380c-e1db-44eb-8686-572b88dc6d57|1f8ae857a3f00335846d6ff7880e57012f1c1e9be8ce22ba26dd62dffd9a6d37
4770616220790151|10/32|JCB 16 digit|191|Platinum|895b52a8-dca0-4053-adcd-b5b2dce4ff53|c04c325f1e9914a0176fe515f6d8a2faeaad71a1bef5440a5b0e812035dff7a5
4050549166768|03/16|Mastercard|117|Gold|6cb56781-4f07-4e31-971a-a2e1ad8f4919|3d1e8967a4da9bd305850f37ae1b2a7f18017d2143a92241a7507fd30104d0f9
4403741926735071|07/20|Maestro|275|Platinum|46be7d19-444b-4b7c-99ad-b8e9e06a5345|113b6cd50ea22a3ace0a402ae6bb30ef2d892266e3118aa2e32c7fcdbc46690c
4910399260538688|09/26|JCB 15 digit|550|Platinum|48889d15-6b13-4b99-b48a-6e214782dc5a|6777fdce535d2d570632aa1c7bced56c6f0bf60df083e2f0d361b74a077c6591
4731441830998039|08/14|Discover|176|Classic|6a6c9be8-07e1-469d-aa26-ff7843fa20fd|4d792818af8e883dee217844f7b692e3771192d78e61f107863e49852bbc6536
4551869542029197|02/19|Mastercard|917|Gold|ccc330d0-39a2-47c0-9e47-b8f1024c1b65|4b7bf11e26b7a70bf012b5821cbddae0258de67bcc3bf23240c58303949aefcf
580972594445|05/14|VISA 19 digit|053|Gold|31899c7f-a776-415c-a56f-a3843aebbfac|6f1654e73f92903f431eb3385a94e3c384f5de21dd99358313610e7d310eab82
30029267673633|08/14|American Express|581|Gold|ea467688-913e-42e7-93e9-da40889fed84|bb673caa384ac12d76074bd2ff49251ad1bc7371a5005e46bbb0e1d2187135db
676187465502|04/19|Mastercard|343|Classic|1ad08cae-57fe-4923-9510-ffb30bf87699|eb1e8627cf1ae2fa1433783c972262a1e2da1d5286f0fce26d1247422fa901c4
4167953159095|05/29|Diners Club / Carte Blanche|845|Platinum|597c1b32-b993-480a-b7df-f589664cd935|37a3f6568c41465f83198aae6abe3289eee009d42b70a4157d480502ba5101b3
4012538455404|06/31|VISA 19 digit|332|Gold|9c3f24ec-d318-4a6f-8782-45fc96ea8b03|c17cc0c816a44fe16cb926b7528b519f3e27bffdff81330b7beaa07ad1de5c4a
4758554591298700|12/18|VISA 13 digit|709|Gold|5300dbb3-43ea-484a-a3b5-d44f8ba9a3cd|11c2ad484e9760d923cf2463fe0aa6cdf1da11caa778c669e5f7d95962b2466a
3592852383282078|08/13|JCB 15 digit|903|Gold|09055f04-19ed-4cb9-b628-922809246ecb|d0e8907aec7d7ebe21afa78177f10d1e7d870e0d0ff26b70a15126bc05dc09c7
4787753406352|10/21|VISA 16 digit|788|Gold|599eedc0-11dc-497c-bda0-f788a36b8c53|ad7cd6d55855caf2f7e5147bffbfe895915a21e22d1608122c108778267ff6a6
6011630301077184|01/15|Discover|912|Platinum|7447cbcc-c6f0-42f2-9494-b5a2228a0261|77743325d86b0bf255924fd9fcee453e23acacef902ef4b592d336708b2c98a8
4839679546919705|10/28|VISA 13 digit|717|Gold|55d22462-e14f-451c-81b9-6622f395303f|3313cfe30934fccf37a10c7be8a9a041fe8a32d4db7e59ea2d5eaf101653d868
213146541980797|07/27|Discover|087|Platinum|4c5cde2c-53fd-4f8e-941f-d8b41b383878|219d26fe0d9223a7060b6a3c284463986fa4395fb2c0834d83e21175092b7eb9
4085933166444127052|06/21|American Express|456|Platinum|d11fb0d2-156c-49d3-9724-9cbe2023bd3d|97d3e196e9cdeac14d69b0a30f5bcb9da06d6180b8a2351a71bac98fef2a012e
346410112197912|11/25|VISA 16 digit|610|Platinum|a4164471-09f7-45f7-8c22-00272d2f5e45|4d4cbc5951765e0919cf48cf417dd97033ea244edee8c674a4a8604795825a9b
4384504737887|09/27|VISA 16 digit|113|Platinum|96bf1119-e1bc-4014-b31a-aaff5f180052|f11d3a1e6050eeba07115d34c712f9ad6afd5a02b6241531b735594e0575bc30
36067788481247|06/13|VISA 16 digit|440|Platinum|aa8fac64-ea7d-42d7-aa15-3a8baffc795a|6f2a81e006beb586468bd9e224cbb7010b3b738f21c232ccc04a5d214e9910ad
30526734833286|08/24|VISA 19 digit|327|Classic|dbffbc0d-247c-4639-873d-02aa158d5274|590acb37f6cc93a1b44b2f8d629737a2036cc893dca6b6f91e205bec2a848548
372569786694111|01/22|JCB 16 digit|943|Classic|45f61d56-b647-4c79-9985-d1d525fe2f1d|0b0a3599e0a54135ac6556b54e84306c254fe4dafa0b58afe508591bb5b201af
4898928000570282|06/24|VISA 19 digit|886|Platinum|cef8b41f-bbec-4f0f-8ab8-5b028a930055|0ef516029d1eb931474696d47711767b1a37ceb8c9995a0578a232030afe652c
6510713130760315|09/18|VISA 16 digit|544|Classic|a2f0c2d9-e027-4fa7-b115-07d5aa27ca42|614ae80e3877ef8a1bdbec83c8de8309595e5c47e11de3d2008cc7693924db5c
3566302711707802|12/18|VISA 13 digit|632|Classic|c00047d4-57ee-4d61-9e2c-062c0f3e8562|ead83d77a688f3400f9889c640e3750d121b0df72c770c7939bc12805eba7dd9
3508353272186226|05/32|VISA 16 digit|1400|Gold|19116607-75f4-43a6-b8be-9def70b18577|7500867f320d0e582580c4ebaff6515594e1d672d0ccde8e6c46796b70191768
346208507096966|11/31|Maestro|661|Gold|4c001564-3ff0-465d-bd56-135da176e1a3|35c2120edbfadca1fcb8ad9d9b64e1193de6c084978601a350dd457458f0b8fd
4690096145599945|02/13|VISA 19 digit|214|Platinum|bff71d91-ba7b-44d2-bf27-a43f73571051|a9228c4d3af4e77ea92d333513a5eb8ab3fc4c893589eb27d371e14aa86e39aa
501834382373|11/20|Diners Club / Carte Blanche|046|Platinum|0e9e7416-a978-4124-8855-984c48f4993a|7ff047d1d6cc1954ca231c5c8129154073993cae06809dbcb2df8094f40c1c1e
5106386306554994|06/16|JCB 16 digit|700|Gold|45016ad9-515a-4cb8-a3c5-511efe47e0c7|f434ea3f86c12b14df21250848f8df12af0be24f17c08c71886d9ced2147bac4
376852241217215|02/24|VISA 13 digit|120|Gold|941d351d-131a-461d-9eb9-9e037d3fa1fe|21c64a78ae6e699d83daa3c8ed21dc5947ab072503fd7d07960c871b15cd36c8
501844828167|07/23|Discover|461|Classic|7a2422eb-8860-43e5-912c-5765c7b9e737|7b3b5beb6ae2da36fc71913fc1073b9a705a3f97b17d0aff591ded3d4d8f682e
3565656362454167|10/19|JCB 16 digit|841|Gold|6c4801b0-bb0d-4f99-ac26-226e98697fcc|74a065fedebc998c9aade9b4f0c98a4f3403a8698b6fed6fbacbde1b2df31b88
371621456124910|09/15|VISA 13 digit|419|Classic|feff5977-181d-4f0e-9819-ebed50db49a4|a4c4338605ce29d12e96a14fc428274a84b575211624d950c474e6ec6c56f3d2
6011208430336316|06/17|VISA 16 digit|219|Classic|1413241f-3fa7-4b64-81ad-1dba7fa514b3|5801a32730ad874bc0c4c10d6b1ea6c9579738cd2199b7d76032e931ba0bcc30
6515795134855782|11/18|JCB 16 digit|2340|Gold|45e187ce-7c43-47a9-bd62-d8a3c2e414fe|6c9c19f96bb50e3c0d1af5b831b1bf66ffe529253bdcd6ec2e52bce567cf7760
4894815566668|02/27|Discover|0423|Gold|f079e928-989f-4436-8e97-983b9d6a9275|e6d771943872d89874fc444d91eaf2f2314d51297b6d6da7feea68b465762e79
4598012749775|03/28|JCB 16 digit|755|Classic|d62b6fda-8768-4f1d-8070-d34ba8d2af59|909e7f3735cd2b039a816b71e2f79d7b16b106494dd8d2b4f979347eb69a2b9e
379097574303656|09/19|Maestro|547|Platinum|de6974e0-bc2f-4030-99f3-2483a835b996|5b84809c5ea27cf6cea1c3419e069915d473f22a7b0610a9197a83d6546312ff
584987469809|05/21|JCB 15 digit|849|Gold|39037ee2-06ec-4c40-9a4b-3fb4318e4a89|3ad3df1daf4a45113e83d2541efc38353ceca989d44c3aaa361005b80562dbe0
377057065848173|06/29|JCB 16 digit|238|Gold|bf1a91d3-d10b-4e74-8be4-c4ad9b64f669|30b996236b2f7a6a7d2bb05a24475f57b79c247ab1f92b3293859cb01b9da2bb
4015107884132513|01/19|Maestro|172|Classic|6c91326d-76de-4d6d-8a5e-a0ae50499fe8|50eac5221f1ad1d6cc991fab0e57de9775f9d265baea17dd56822ab934094e62
3536347334141522|11/29|JCB 16 digit|005|Gold|16f27207-9b0d-4266-8e7e-f3537db00944|b8a549c4086b73d8cd1707f4c1859f2d413c3440759dd2439eb7cfbeaf6767b0
3519101903552739|01/27|JCB 16 digit|9878|Classic|f84890cd-2423-450c-a51f-8342a7f80820|e9da1411147da58ebbdf9ef1b49e8a140461883382351ddc6a3c07c2c42de4b1
6011503596145224|07/23|VISA 16 digit|541|Platinum|78801d59-7585-4403-82b6-4c6bd093b3b0|4761dd19b6c980dab919754956dbe60af9ae8a89abd12477fea6ec34b547d21c
4903279681009528|09/15|VISA 16 digit|309|Classic|c0697c84-e8c6-46e3-8938-1873c9b7b9de|8bcdd1359ccf674811de3beafe2a4fa9d38069b8f5aa2e684ef0ad188ac937ff
38916788399957|10/24|Diners Club / Carte Blanche|543|Gold|460f4498-f176-4afa-be32-26d9c13284ae|3b6af052e26988f2f0fef5a94865f94e8e875b1cdd54e3f40e8566684720f02e
4769877709566289|10/25|JCB 16 digit|664|Classic|8de60e71-93ff-4d22-960c-27108c0807d5|083fd95d309af49e6620b592190aaab5c8f8a8a052ca6dbba7b8fa493664aeb8
349229799439778|09/24|American Express|420|Platinum|d6ab0a0d-4fda-4c4a-a7f5-d524bca1b963|7d17d9a24a93c56db79d6e81df3586a5e3530fefde1f7c5c36c33a4bbc231965
2226073045024230|06/17|Discover|140|Gold|0b136be1-c862-442b-8f50-c0fed3e88a64|f905b4083661c957ee5abab3a1447de603835750195f0e1ffde494b9bdb5c1ff
4237901834307023|08/30|VISA 16 digit|994|Classic|29d417b5-2def-41df-9f92-a6483eb15c88|7d6db9ea7cf942195008ef94cb66380af0fec785eb785785328f0540f8d47a8c
2231928143055068|02/16|JCB 15 digit|6302|Platinum|eb2d5219-9bae-4386-9752-9ffab96c9909|385520ec93638628ddb629ae74498fecd401bf2fa4f58b9a73b8587710ed5af8
3577874748833667|06/27|JCB 16 digit|741|Classic|e8d49d73-99b0-46df-863c-26dde3724e6c|7486205c9d0ef7dc2132c59f6026df55cbdb59858577aedb0a58deeff7dceb95
4651055891612668006|05/27|VISA 16 digit|585|Gold|2100a6a8-0cb7-4e7f-ab25-134e526d7b0d|a613302d33927bf54d5afc777b0bac240f2303af5bf30abeb3ebf72b648232ae
38364870408859|12/16|JCB 15 digit|044|Classic|dc1d9124-8193-48fd-9264-57fea8ae5859|6b17c1be25687a0953bbbcf50531b9efa92d05eececb226c126b1bfae4ca7385
213106748576632|10/16|Discover|516|Gold|4a744a9b-3fd9-4b79-af05-e1820bb79911|a42ee79bf0f45e64d24646f31cc0f9843febd391af60fc625345359061d49710
4639460595227|10/13|Maestro|406|Platinum|576f141f-cf2d-4011-b66e-3cc900034286|3c7758a26ed06b7631865e6957fa728d93093b650b8b8b35cb8fe0d7b4cb38d6
